visit_date,site_id,pit_tag_ref,swab_id,bd_load,collect_siteid,year
2022-08-29,10223,982126058791264,RKS36631,NA,NA,2022
2022-08-29,10223,982091062746022,RKS36632,NA,10593,2022
2022-08-29,10223,982091062746103,NA,NA,10593,2022
2022-08-29,10225,900043000201223,RKS36569,NA,10593,2022
2022-08-29,10225,900043000164855,NA,NA,10206,2022
2022-08-29,10225,982091062746010,NA,NA,10593,2022
2022-08-29,10225,900043000201080,NA,NA,10593,2022
2022-08-29,10225,900043000164527,NA,NA,10206,2022
2022-08-29,10225,900043000201269,NA,NA,10593,2022
2022-07-03,70481,900043000165133,RKS34598,NA,70567,2022
2022-07-03,70481,900043000164455,RKS34599,NA,70397,2022
2022-07-03,70481,900043000164731,RKS34600,NA,70567,2022
2022-07-04,70481,900043000164750,RKS34601,NA,70567,2022
2022-07-04,70481,900043000201194,RKS34602,NA,70567,2022
2022-07-04,70481,900043000164734,RKS34603,NA,70567,2022
2022-07-04,70481,900043000165133,NA,NA,70567,2022
2022-07-04,70481,900043000164455,NA,NA,70397,2022
2022-07-05,70481,900043000164750,NA,NA,70567,2022
2022-07-05,70481,900043000164731,NA,NA,70567,2022
2022-07-05,70481,900043000201194,NA,NA,70567,2022
2022-07-05,70481,900043000164444,RKS34616,NA,70397,2022
2022-07-05,70481,900043000165133,NA,NA,70567,2022
2022-07-05,70481,900043000164455,NA,NA,70397,2022
2022-07-05,70481,982000407072571,RKS34615,NA,70397,2022
2022-07-05,70481,900043000164412,RKS34617,NA,70397,2022
2022-08-18,70481,900043000164750,RKS36184,NA,70567,2022
2022-08-19,70481,900043000165136,RKS33871,NA,70567,2022
2022-07-03,70470,900043000164723,RKS34595,NA,70567,2022
2022-07-04,70470,900043000164733,RKS34622,NA,70567,2022
2022-08-19,70470,900043000165197,RKS36188,NA,70567,2022
2022-08-19,70470,982091064358209,RKS36189,NA,NA,2022
2022-08-20,70470,900043000165197,NA,NA,70567,2022
2023-08-30,10223,900043000201429,RKS36850,NA,10593,2023
2023-08-30,10223,900043000200807,RKS36851,NA,NA,2023
2023-08-30,10223,900043000201299,RKS36852,NA,10593,2023
2023-08-30,10223,900043000165119,RKS63853,NA,10593,2023
2023-08-30,10223,900043000201410,RKS36854,NA,10593,2023
2023-08-30,10223,982126058790662,RKS36855,NA,NA,2023
2023-08-30,10225,900043000201223,RKS36814,NA,10593,2023
2023-08-30,10225,900043000201269,RKS36815,NA,10593,2023
2023-08-30,10225,900067000117149,RKS36817,NA,NA,2023
2023-08-31,10223,900043000201429,NA,NA,10593,2023
2023-08-31,10223,900043000201410,NA,NA,10593,2023
2023-08-31,10225,900043000201010,RKS36819,NA,10593,2023
2023-08-29,70481,900043000164489,RKS37043,NA,70567,2023
2023-08-30,70481,900043000164731,RKS37044,NA,70567,2023
2023-08-30,70481,900043000164485,RKS37045,NA,70567,2023
2023-08-30,70481,900043000164765,RKS37177,NA,70567,2023
2023-08-31,70481,900043000164747,RKS37187,NA,70567,2023
2019-08-17,70481,900043000164724,RKS28886,0,70567,2019
2019-08-18,70470,900043000164753,RKS28887,209.752,70567,2019
2019-08-17,70470,900043000164719,RKS29050,0,70567,2019
2022-08-18,70481,NA,NA,NA,NA,2022
2019-08-18,70481,NA,NA,NA,NA,2019
2021-06-19,70470,NA,NA,NA,NA,2021
2021-06-17,70481,NA,NA,NA,NA,2021
2021-08-04,70470,NA,NA,NA,NA,2021
2019-08-18,70481,NA,NA,NA,NA,2019
2022-07-04,70470,NA,NA,NA,NA,2022
2022-07-05,70481,NA,NA,NA,NA,2022
2021-06-17,70470,NA,NA,NA,NA,2021
2021-08-04,70470,NA,NA,NA,NA,2021
2019-08-17,70470,NA,NA,NA,NA,2019
2020-08-10,70481,NA,NA,NA,NA,2020
2020-08-11,70481,NA,NA,NA,NA,2020
2022-08-20,70481,NA,NA,NA,NA,2022
2021-08-05,70470,NA,NA,NA,NA,2021
2020-08-10,70470,NA,NA,NA,NA,2020
2019-08-17,70481,NA,NA,NA,NA,2019
2020-08-12,70470,NA,NA,NA,NA,2020
2022-08-19,70470,NA,NA,NA,NA,2022
2022-07-03,70470,NA,NA,NA,NA,2022
2021-06-17,70470,NA,NA,NA,NA,2021
2021-08-05,70481,NA,NA,NA,NA,2021
2021-08-05,70470,NA,NA,NA,NA,2021
2022-07-03,70481,NA,NA,NA,NA,2022
2022-08-20,70481,NA,NA,NA,NA,2022
2021-06-18,70470,NA,NA,NA,NA,2021
2022-07-04,70481,NA,NA,NA,NA,2022
2022-08-20,70481,NA,NA,NA,NA,2022
2019-08-18,70470,NA,NA,NA,NA,2019
2021-06-19,70481,NA,NA,NA,NA,2021
2021-08-06,70481,NA,NA,NA,NA,2021
